state,code,col,row,canada,china,eu,mexico,grandtotal,totaldollars
Alabama,AL,7,7,19.2692,16.3984,24.25790573,13.4417,73.36721,21786300000
Alaska,AK,1,1,14.3034,26.7535,17.215,0,58.701,4942470000
Arizona,AZ,2,6,10.2984,5.6894,16.5321,36.2203,68.74,20916890000
Arkansas,AR,5,6,20.1532,5.901,23.9969,13.6429,63.694,6234390000
California,CA,1,5,9.7912,9.5534,18.1901,15.5639,53.098,172012420000
Colorado,CO,3,5,17.2623,7.2736,17.86681189,16.3379,58.74,8054120000
Connecticut,CT,11,4,12.899,5.3782,45.88631842,7.0093,71.172,14783750000
DC,DC,9,5,0.767,0,6.135,1.25,8.2739,1483080000
Delaware,DE,11,5,13.2246,7.7396,20.90057129,7.1663,49.031,4565610000
Florida,FL,8,8,6.5285,3.3961,15.51801368,5.6061,31.048,54914290000
Georgia,GA,8,7,16.7859,7.6205,20.10659443,9.7337,54.246,37223840000
Hawaii,HI,1,9,2.552,13.0812,1.93,0.15,17.71436,952420000
Idaho,ID,2,3,21.8801,9.1421,9.832975104,5.9906,46.84578,3864100000
Illinois,IL,6,5,27.145,8.0861,17.60303921,15.1497,67.98384,65186970000
Indiana,IN,7,4,34.883,5.4788,24.31639608,13.4203,78.0985,37737140000
Iowa,IA,5,4,30.4489,4.3845,15.64134538,16.8901,67.36485,13399000000
Kansas,KS,4,6,22.3403,6.2772,16.7399,16.00420028,61.3616,11243470000
Kentucky,KY,7,5,24.9852,9.1232,32.11439899,6.8808,73.1036,30857270000
Louisiana,LA,5,7,4.716,13.615,14.39680438,12.7536,45.4814,57005310000
Maine,ME,11,1,47.9961,8.7884,11.3925,1.75,73.03893,2711930000
Maryland,MD,10,5,16.1666,6.4365,30.31657223,4.0422,56.96187,9317490000
Massachusetts,MA,10,3,10.9275,8.3566,32.35291048,9.2943,60.93131,27565800000
Michigan,MI,7,3,41.5822,6.1386,11.53391525,20.8908,80.14552,59870400000
Minnesota,MN,5,3,20.8015,9.6051,20.42347211,11.7631,62.593,20691900000
Mississippi,MS,6,7,20.4494,7.1592,14.81128376,8.7463,51.16618,10994560000
Missouri,MO,5,5,36.4626,6.5419,16.23047715,18.0521,77.287,14206200000
Montana,MT,3,3,42.4135,7.9598,12.64875521,2.6165,65.63856,1616010000
Nebraska,NE,4,5,21.9716,6.7048,11.58904861,20.979,61.24445,7206420000
Nevada,NV,2,5,9.082,6.6168,9.180459758,4.9854,28.86466,12162490000
New Hampshire,NH,11,2,11.2171,8.2256,33.57388078,9.3461,62.36268,5147880000
New Jersey,NJ,10,4,19.6648,4.6221,26.68884633,8.1337,59.10945,34486250000
New Mexico,NM,3,6,3.5201,27.7628,7.572060428,43.988,82.84296,3609590000
New York,NY,9,3,19.7632,4.0662,24.42599708,4.0303,52.2857,77914560000
North Carolina,NC,8,6,20.3838,7.239,25.9906093,10.9134,64.52681,32622500000
North Dakota,ND,4,3,83.9165,0.8837,3.013539566,4.1741,91.98784,5835490000
Ohio,OH,8,4,37.8393,7.614,15.47255719,12.9536,73.879,50102780000
Oklahoma,OK,4,7,26.2164,4.1455,20.87557555,9.8159,61.05338,5364370000
Oregon,OR,1,4,10.6492,17.9634,10.281,1.54117,40.4356,21895180000
Pennsylvania,PA,9,4,26.6345,6.6213,22.95407162,10.5682,66.77807,38701910000
Rhode Island,RI,11,3,20.6333,6.9511,22.9156006,9.2353,59.7353,2391710000
South Carolina,SC,7,6,11.7558,19.3488,25.4551436,8.0989,64.65864,32199070000
South Dakota,SD,4,4,39.4291,4.6769,8.649381118,25.3965,78.15188,1359710000
Tennessee,TN,6,6,27.1365,7.5257,18.23237223,14.1298,67.02437,33246130000
Texas,TX,4,8,8.6556,6.2065,11.18460335,36.9321,62.9788,264541380000
Utah,UT,2,4,10.4677,6.3628,33.89561755,5.8243,56.55042,11583300000
Vermont,VT,10,2,38.5914,7.2732,14.31211204,2.9951,63.17181,2775990000
Virginia,VA,9,6,18.009,10.4173,25.71634421,6.3716,60.51424,16508630000
Washington,WA,1,3,10.0919,23.5129,12.09766055,2.6622,48.346,76413740000
West Virginia,WV,8,5,21.3561,7.5291,25.80392613,3.3524,58.04153,7110480000
Wisconsin,WI,6,4,30.9805,7.7652,17.17212938,14.3285,70.24633,22306120000
Wyoming,WY,3,4,17.0794,3.0638,5.31963557,1.98,27.44284,1196390000
Puerto Rico,PR,10,9,4.3941,4.6586,55.4503,0,64.503,158760200
US Virgin Islands,VI,11,9,0,0,0,11.4985,11.4985,9609400
